"","year","total_209s","matches_w_mtbs","pct_match"
"1",2001,883,394,0.446206115515289
"2",2002,1008,431,0.427579365079365
"3",2003,1110,573,0.516216216216216
"4",2004,897,405,0.451505016722408
"5",2005,1496,673,0.449866310160428
"6",2006,2714,1262,0.464996315401621
"7",2007,2131,879,0.412482402627874
"8",2008,1937,787,0.40629839958699
"9",2009,1711,735,0.429573348918761
"10",2010,1692,568,0.335697399527187
"11",2011,2597,1265,0.48710050057759
"12",2012,1711,827,0.483343074225599
"13",2013,1104,415,0.375905797101449
"14",2014,1227,522,0.425427872860636
