,eventID,pixels,area_km2,firstbd,lastbd,duration,fsr,maxbd
0,1.0,1,0.214369,218.0,218.0,1.0,1.0,218
1,2.0,15,3.215535,317.0,328.0,12.0,1.25,317
2,3.0,2,0.428738,230.0,230.0,1.0,2.0,230
3,4.0,1,0.214369,202.0,202.0,1.0,1.0,202
4,5.0,1,0.214369,247.0,247.0,1.0,1.0,247
5,6.0,2,0.428738,195.0,195.0,1.0,2.0,195
6,7.0,5,1.071845,185.0,200.0,16.0,0.3125,185
7,8.0,3,0.643107,288.0,295.0,8.0,0.375,288
8,9.0,2,0.428738,243.0,243.0,1.0,2.0,243
9,10.0,8,1.714952,269.0,271.0,3.0,2.6666666666666665,269
10,11.0,6,1.286214,231.0,231.0,1.0,6.0,231
11,12.0,3,0.643107,200.0,211.0,12.0,0.25,211
12,13.0,17,3.644273,282.0,298.0,17.0,1.0,291
13,14.0,1,0.214369,247.0,247.0,1.0,1.0,247
14,15.0,3,0.643107,195.0,199.0,5.0,0.6,195
15,16.0,4,0.857476,285.0,285.0,1.0,4.0,285
16,17.0,2,0.428738,178.0,178.0,1.0,2.0,178
17,19.0,38,8.146022,250.0,269.0,20.0,1.9,250
18,20.0,1,0.214369,290.0,290.0,1.0,1.0,290
19,21.0,452,96.894788,178.0,224.0,47.0,9.617021276595745,213
20,22.0,2,0.428738,281.0,281.0,1.0,2.0,281
21,23.0,1,0.214369,190.0,190.0,1.0,1.0,190
22,24.0,2,0.428738,280.0,280.0,1.0,2.0,280
23,25.0,3,0.643107,278.0,286.0,9.0,0.3333333333333333,278
24,26.0,6,1.286214,287.0,288.0,2.0,3.0,287
25,27.0,1,0.214369,301.0,301.0,1.0,1.0,301
26,28.0,30,6.43107,277.0,286.0,10.0,3.0,279
27,29.0,66,14.148354,178.0,187.0,10.0,6.6,182
28,30.0,2,0.428738,243.0,243.0,1.0,2.0,243
29,31.0,6,1.286214,275.0,301.0,27.0,0.2222222222222222,290
30,32.0,1,0.214369,273.0,273.0,1.0,1.0,273
31,33.0,60,12.86214,186.0,195.0,10.0,6.0,188
32,34.0,2,0.428738,179.0,179.0,1.0,2.0,179
33,35.0,2,0.428738,278.0,278.0,1.0,2.0,278
34,36.0,7,1.500583,198.0,198.0,1.0,7.0,198
35,37.0,252,54.020988,221.0,252.0,32.0,7.875,231
36,38.0,15,3.215535,192.0,197.0,6.0,2.5,194
37,39.0,1,0.214369,269.0,269.0,1.0,1.0,269
38,40.0,4,0.857476,260.0,260.0,1.0,4.0,260
39,41.0,3,0.643107,197.0,200.0,4.0,0.75,197
40,42.0,1,0.214369,191.0,191.0,1.0,1.0,191
41,43.0,4,0.857476,212.0,213.0,2.0,2.0,212
42,44.0,3,0.643107,188.0,188.0,1.0,3.0,188
43,45.0,1,0.214369,244.0,244.0,1.0,1.0,244
44,46.0,1,0.214369,70.0,70.0,1.0,1.0,70
45,47.0,17,3.644273,214.0,237.0,24.0,0.7083333333333334,237
46,49.0,6,1.286214,266.0,270.0,5.0,1.2,269
47,50.0,1,0.214369,237.0,237.0,1.0,1.0,237
48,51.0,8,1.714952,309.0,320.0,12.0,0.6666666666666666,314
49,52.0,2,0.428738,279.0,281.0,3.0,0.6666666666666666,279
50,53.0,34,7.288546,92.0,112.0,21.0,1.619047619047619,102
51,54.0,32,6.859808,269.0,276.0,8.0,4.0,274
52,55.0,76,16.292044,244.0,279.0,36.0,2.111111111111111,277
53,56.0,7,1.500583,298.0,307.0,10.0,0.7,303
54,57.0,44,9.432236,254.0,285.0,32.0,1.375,274
55,58.0,4,0.857476,303.0,315.0,13.0,0.3076923076923077,303
56,59.0,1,0.214369,287.0,287.0,1.0,1.0,287
57,60.0,1,0.214369,239.0,239.0,1.0,1.0,239
58,61.0,4,0.857476,93.0,95.0,3.0,1.3333333333333333,94
59,62.0,8,1.714952,278.0,283.0,6.0,1.3333333333333333,281
60,63.0,1,0.214369,170.0,170.0,1.0,1.0,170
61,64.0,3,0.643107,303.0,303.0,1.0,3.0,303
62,65.0,10,2.14369,184.0,186.0,3.0,3.3333333333333335,184
63,66.0,14,3.001166,104.0,115.0,12.0,1.1666666666666667,112
64,67.0,12,2.572428,92.0,104.0,13.0,0.9230769230769231,96
65,68.0,7,1.500583,287.0,303.0,17.0,0.4117647058823529,287
66,69.0,4,0.857476,304.0,304.0,1.0,4.0,304
67,70.0,2,0.428738,173.0,178.0,6.0,0.3333333333333333,173
68,71.0,4,0.857476,241.0,242.0,2.0,2.0,242
69,72.0,3,0.643107,176.0,178.0,3.0,1.0,176
70,73.0,1,0.214369,92.0,92.0,1.0,1.0,92
71,74.0,6,1.286214,308.0,310.0,3.0,2.0,308
72,75.0,2,0.428738,249.0,253.0,5.0,0.4,249
73,76.0,4,0.857476,228.0,232.0,5.0,0.8,232
74,77.0,12,2.572428,273.0,283.0,11.0,1.0909090909090908,277
75,78.0,3,0.643107,274.0,274.0,1.0,3.0,274
76,79.0,2,0.428738,243.0,243.0,1.0,2.0,243
77,80.0,1,0.214369,243.0,243.0,1.0,1.0,243
78,81.0,3,0.643107,222.0,223.0,2.0,1.5,222
79,82.0,4,0.857476,308.0,308.0,1.0,4.0,308
80,83.0,1,0.214369,244.0,244.0,1.0,1.0,244
81,84.0,5,1.071845,269.0,274.0,6.0,0.8333333333333334,274
82,85.0,13,2.786797,186.0,191.0,6.0,2.1666666666666665,187
83,86.0,2,0.428738,326.0,326.0,1.0,2.0,326
84,87.0,3,0.643107,190.0,195.0,6.0,0.5,195
85,88.0,1,0.214369,223.0,223.0,1.0,1.0,223
86,89.0,4,0.857476,310.0,314.0,5.0,0.8,310
87,90.0,2,0.428738,241.0,241.0,1.0,2.0,241
88,91.0,1,0.214369,243.0,243.0,1.0,1.0,243
89,92.0,1,0.214369,265.0,265.0,1.0,1.0,265
90,93.0,1,0.214369,317.0,317.0,1.0,1.0,317
91,94.0,1,0.214369,253.0,253.0,1.0,1.0,253
92,95.0,2,0.428738,215.0,219.0,5.0,0.4,215
93,96.0,56,12.004664,221.0,227.0,7.0,8.0,225
94,97.0,2,0.428738,185.0,185.0,1.0,2.0,185
95,98.0,6,1.286214,309.0,311.0,3.0,2.0,309
96,99.0,3,0.643107,276.0,281.0,6.0,0.5,276
