"","observation","reburn_pct","n2_or_more","n1"
"1","Yearly_n_h08v04_2002.tif",0.07,6,8575
"2","Yearly_n_h08v04_2006.tif",0.5,10,2007
"3","Yearly_n_h08v04_2008.tif",0.22,18,8244
"4","Yearly_n_h08v04_2012.tif",0.01,1,9222
"5","Yearly_n_h08v04_2013.tif",0.1,2,2063
"6","Yearly_n_h08v04_2014.tif",0.09,5,5673
"7","Yearly_n_h08v04_2015.tif",0.36,14,3913
"8","Yearly_n_h08v04_2017.tif",0.02,2,10598
"9","Yearly_n_h08v05_2001.tif",1.14,71,6225
"10","Yearly_n_h08v05_2002.tif",0.14,34,24172
"11","Yearly_n_h08v05_2003.tif",0.22,63,28012
"12","Yearly_n_h08v05_2004.tif",0.74,99,13444
"13","Yearly_n_h08v05_2005.tif",0.03,13,38283
"14","Yearly_n_h08v05_2006.tif",0.35,83,23387
"15","Yearly_n_h08v05_2007.tif",0.14,31,21579
"16","Yearly_n_h08v05_2008.tif",0.23,38,16335
"17","Yearly_n_h08v05_2009.tif",0.6,108,17955
"18","Yearly_n_h08v05_2010.tif",0.32,20,6229
"19","Yearly_n_h08v05_2011.tif",0.31,87,28274
"20","Yearly_n_h08v05_2012.tif",0.22,41,18949
"21","Yearly_n_h08v05_2013.tif",0.42,76,18241
"22","Yearly_n_h08v05_2014.tif",0.15,15,10284
"23","Yearly_n_h08v05_2015.tif",0.28,36,12688
"24","Yearly_n_h08v05_2016.tif",0.3,49,16121
"25","Yearly_n_h08v05_2017.tif",0.43,145,33794
"26","Yearly_n_h08v06_2001.tif",0.68,98,14372
"27","Yearly_n_h08v06_2002.tif",1.24,244,19748
"28","Yearly_n_h08v06_2003.tif",2.36,436,18474
"29","Yearly_n_h08v06_2004.tif",3.26,459,14059
"30","Yearly_n_h08v06_2005.tif",0.96,383,39917
"31","Yearly_n_h08v06_2006.tif",0.67,169,25113
"32","Yearly_n_h08v06_2008.tif",1.33,463,34782
"33","Yearly_n_h08v06_2009.tif",0.43,79,18525
"34","Yearly_n_h08v06_2010.tif",0.84,107,12753
"35","Yearly_n_h08v06_2011.tif",0.24,187,78898
"36","Yearly_n_h08v06_2012.tif",0.17,54,32400
"37","Yearly_n_h08v06_2013.tif",0.3,61,20219
"38","Yearly_n_h08v06_2014.tif",1.16,94,8097
"39","Yearly_n_h08v06_2015.tif",2.97,173,5829
"40","Yearly_n_h08v06_2016.tif",3.11,542,17435
"41","Yearly_n_h08v06_2017.tif",1.9,587,30931
"42","Yearly_n_h09v04_2001.tif",0.06,7,11306
"43","Yearly_n_h09v04_2002.tif",0.38,45,11815
"44","Yearly_n_h09v04_2003.tif",0.67,78,11727
"45","Yearly_n_h09v04_2004.tif",1.23,61,4957
"46","Yearly_n_h09v04_2005.tif",0.42,83,19698
"47","Yearly_n_h09v04_2006.tif",0.42,143,33737
"48","Yearly_n_h09v04_2007.tif",0.16,94,60073
"49","Yearly_n_h09v04_2008.tif",0.57,48,8455
"50","Yearly_n_h09v04_2009.tif",0.46,28,6100
"51","Yearly_n_h09v04_2010.tif",0.61,77,12637
"52","Yearly_n_h09v04_2011.tif",0.08,13,16878
"53","Yearly_n_h09v04_2012.tif",0.08,46,55468
"54","Yearly_n_h09v04_2013.tif",0.26,47,18047
"55","Yearly_n_h09v04_2014.tif",0.19,39,20876
"56","Yearly_n_h09v04_2015.tif",0.07,17,24432
"57","Yearly_n_h09v04_2016.tif",0.26,45,17315
"58","Yearly_n_h09v04_2017.tif",0.24,57,23830
"59","Yearly_n_h09v05_2001.tif",0.16,6,3714
"60","Yearly_n_h09v05_2002.tif",0.08,11,13216
"61","Yearly_n_h09v05_2003.tif",0.42,20,4747
"62","Yearly_n_h09v05_2004.tif",0.31,17,5400
"63","Yearly_n_h09v05_2005.tif",0.46,26,5659
"64","Yearly_n_h09v05_2006.tif",0.01,3,21582
"65","Yearly_n_h09v05_2007.tif",0.11,10,8833
"66","Yearly_n_h09v05_2008.tif",0.11,18,16376
"67","Yearly_n_h09v05_2009.tif",0.12,13,11120
"68","Yearly_n_h09v05_2010.tif",0.25,14,5530
"69","Yearly_n_h09v05_2011.tif",0.05,27,58398
"70","Yearly_n_h09v05_2012.tif",0.4,40,9921
"71","Yearly_n_h09v05_2013.tif",0.28,16,5691
"72","Yearly_n_h09v05_2014.tif",0.12,5,4072
"73","Yearly_n_h09v05_2015.tif",0.06,3,4819
"74","Yearly_n_h09v05_2016.tif",0.72,63,8757
"75","Yearly_n_h09v05_2017.tif",0.25,41,16217
"76","Yearly_n_h09v06_2001.tif",0.38,13,3464
"77","Yearly_n_h09v06_2002.tif",1.06,132,12451
"78","Yearly_n_h09v06_2003.tif",0.72,122,16908
"79","Yearly_n_h09v06_2004.tif",0.35,22,6364
"80","Yearly_n_h09v06_2005.tif",0.86,92,10657
"81","Yearly_n_h09v06_2006.tif",2.08,246,11816
"82","Yearly_n_h09v06_2007.tif",0.72,45,6235
"83","Yearly_n_h09v06_2008.tif",0.31,46,14829
"84","Yearly_n_h09v06_2009.tif",0.48,41,8628
"85","Yearly_n_h09v06_2010.tif",1.37,73,5334
"86","Yearly_n_h09v06_2011.tif",0.43,114,26652
"87","Yearly_n_h09v06_2012.tif",0.72,28,3870
"88","Yearly_n_h09v06_2013.tif",0.25,14,5627
"89","Yearly_n_h09v06_2014.tif",0.17,7,4061
"90","Yearly_n_h09v06_2015.tif",0.6,33,5520
"91","Yearly_n_h09v06_2016.tif",0.98,54,5492
"92","Yearly_n_h09v06_2017.tif",0.85,56,6597
"93","Yearly_n_h10v04_2001.tif",0.28,9,3259
"94","Yearly_n_h10v04_2002.tif",0.12,6,5136
"95","Yearly_n_h10v04_2003.tif",0.27,48,17595
"96","Yearly_n_h10v04_2005.tif",0.02,1,4283
"97","Yearly_n_h10v04_2006.tif",0.02,4,24225
"98","Yearly_n_h10v04_2007.tif",0.22,33,14768
"99","Yearly_n_h10v04_2008.tif",0.15,7,4595
"100","Yearly_n_h10v04_2009.tif",0.07,2,2965
"101","Yearly_n_h10v04_2010.tif",0.11,4,3734
"102","Yearly_n_h10v04_2012.tif",0.05,18,34215
"103","Yearly_n_h10v04_2014.tif",0.02,1,4644
"104","Yearly_n_h10v04_2015.tif",0.05,10,20208
"105","Yearly_n_h10v04_2016.tif",0.24,19,7960
"106","Yearly_n_h10v04_2017.tif",0.11,23,20475
"107","Yearly_n_h10v05_2001.tif",0.57,51,8893
"108","Yearly_n_h10v05_2002.tif",0.35,46,13013
"109","Yearly_n_h10v05_2003.tif",0.42,184,43836
"110","Yearly_n_h10v05_2004.tif",1.05,429,40826
"111","Yearly_n_h10v05_2005.tif",0.76,310,40801
"112","Yearly_n_h10v05_2006.tif",0.51,183,35691
"113","Yearly_n_h10v05_2007.tif",0.7,310,43999
"114","Yearly_n_h10v05_2008.tif",0.54,279,51486
"115","Yearly_n_h10v05_2009.tif",0.3,152,50691
"116","Yearly_n_h10v05_2010.tif",1.36,636,46865
"117","Yearly_n_h10v05_2011.tif",0.56,383,68520
"118","Yearly_n_h10v05_2012.tif",1.02,185,18136
"119","Yearly_n_h10v05_2013.tif",0.83,198,23896
"120","Yearly_n_h10v05_2014.tif",0.4,188,46804
"121","Yearly_n_h10v05_2015.tif",0.64,316,49619
"122","Yearly_n_h10v05_2016.tif",0.49,296,60749
"123","Yearly_n_h10v05_2017.tif",0.97,416,42902
"124","Yearly_n_h10v06_2001.tif",11.67,1983,16999
"125","Yearly_n_h10v06_2002.tif",5.81,698,12006
"126","Yearly_n_h10v06_2003.tif",6.44,1021,15859
"127","Yearly_n_h10v06_2004.tif",3.41,1128,33067
"128","Yearly_n_h10v06_2005.tif",3.12,755,24196
"129","Yearly_n_h10v06_2006.tif",3.77,1049,27860
"130","Yearly_n_h10v06_2007.tif",4.23,1017,24055
"131","Yearly_n_h10v06_2008.tif",4.95,882,17813
"132","Yearly_n_h10v06_2009.tif",4.22,1025,24308
"133","Yearly_n_h10v06_2010.tif",8.13,1420,17463
"134","Yearly_n_h10v06_2011.tif",1.43,328,22986
"135","Yearly_n_h10v06_2012.tif",5.47,848,15508
"136","Yearly_n_h10v06_2013.tif",5.62,882,15701
"137","Yearly_n_h10v06_2014.tif",6.76,1028,15208
"138","Yearly_n_h10v06_2015.tif",3.74,642,17168
"139","Yearly_n_h10v06_2016.tif",4.15,530,12765
"140","Yearly_n_h10v06_2017.tif",4.05,745,18394
"141","Yearly_n_h11v04_2002.tif",1.1,22,2004
"142","Yearly_n_h11v04_2003.tif",0.92,35,3802
"143","Yearly_n_h11v04_2006.tif",0.2,4,2047
"144","Yearly_n_h11v04_2009.tif",0.39,9,2310
"145","Yearly_n_h11v04_2010.tif",0.14,1,712
"146","Yearly_n_h11v04_2012.tif",0.19,6,3161
"147","Yearly_n_h11v04_2013.tif",0.15,1,669
"148","Yearly_n_h11v04_2014.tif",0.17,1,585
"149","Yearly_n_h11v04_2015.tif",0.23,5,2134
"150","Yearly_n_h11v04_2016.tif",0.16,3,1838
"151","Yearly_n_h11v04_2017.tif",0.24,1,411
"152","Yearly_n_h11v05_2001.tif",0.09,4,4226
"153","Yearly_n_h11v05_2002.tif",0.36,6,1663
"154","Yearly_n_h11v05_2003.tif",0.23,5,2207
"155","Yearly_n_h11v05_2004.tif",0.09,3,3514
"156","Yearly_n_h11v05_2005.tif",0.07,2,3027
"157","Yearly_n_h11v05_2006.tif",0.68,24,3506
"158","Yearly_n_h11v05_2007.tif",0.15,5,3410
"159","Yearly_n_h11v05_2008.tif",0.33,15,4604
"160","Yearly_n_h11v05_2009.tif",0.04,1,2770
"161","Yearly_n_h11v05_2010.tif",0.2,6,3029
"162","Yearly_n_h11v05_2011.tif",0.44,25,5700
"163","Yearly_n_h11v05_2012.tif",0.76,23,3040
"164","Yearly_n_h11v05_2013.tif",1.4,68,4850
"165","Yearly_n_h11v05_2014.tif",0.22,6,2757
"166","Yearly_n_h11v05_2015.tif",0.05,1,2192
"167","Yearly_n_h11v05_2016.tif",0.15,8,5465
"168","Yearly_n_h11v05_2017.tif",0.12,4,3262
"169","Yearly_n_h12v04_2003.tif",0.06,1,1686
"170","Yearly_n_h12v04_2006.tif",0.04,1,2753
"171","Yearly_n_h12v04_2012.tif",0.04,1,2510
"172","Yearly_n_h12v04_2016.tif",1.27,8,629
"173","Yearly_n_h13v04_2005.tif",0.06,2,3206
"174","Yearly_n_h13v04_2010.tif",0.26,19,7284
"175","Yearly_n_h13v04_2015.tif",0.64,1,157
