"","Fire_ID","mtbs_cast_id","modis_id","n","mtbs_acres","mtbs_hectares","mtbs_year","modis_ha","modis_acres","west_or_east"
"1","AL3402108546720010128","AL3402108546720010128","NA",0,1357.72303877004,549.453217739371,2001,NA,NA,"e"
"2","AL3483108570220011108","AL3483108570220011108","NA",0,662.814130854406,268.23243515923,2001,NA,NA,"e"
"3","AR3478709425420010409","AR3478709425420010409","NA",0,3284.02685710974,1329.00383381288,2001,NA,NA,"e"
"4","AR3582309303620010309","AR3582309303620010309","200101552",1,6353.35913892161,2571.12350799961,2001,171.4952,423.773868,"e"
"5","AR3595809292220010313","AR3595809292220010313","NA",0,993.347890813057,401.995237140772,2001,NA,NA,"e"
"6","AR3597009295320010321","AR3597009295320010321","NA",0,592.568507449224,239.804926227033,2001,NA,NA,"e"
"7","AZ3210211042720010509","AZ3210211042720010509","200102258",1,3053.4589012853,1235.69591929882,2001,857.476,2118.86934,"w"
"8","AZ3254010966620010602","AZ3254010966620010602","NA",0,2134.74260273877,863.903136815518,2001,NA,NA,"w"
"9","AZ3256010971820010612","AZ3256010971820010612","NA",0,1688.25784551806,683.216443343234,2001,NA,NA,"w"
"10","AZ3321210987320010806","AZ3321210987320010806","NA",0,2189.42034185734,886.0305212964,2001,NA,NA,"w"
"11","AZ3330610988320010806","AZ3330610988320010806","200101991",1,13222.5091758958,5350.98102177436,2001,21.4369,52.9717335,"w"
"12","AZ3333111005120010806","AZ3333111005120010806","NA",0,7804.01966155805,3158.18734152794,2001,NA,NA,"w"
"13","AZ3369710969420010927","AZ3369710969420010927","NA",0,5008.04170443739,2026.69068027956,2001,NA,NA,"w"
"14","AZ3375610976320011011","AZ3375610976320011011","200101894",1,4983.71737803706,2016.84693525325,2001,857.476,2118.86934,"w"
"15","AZ3393510996120011019","AZ3393510996120011019","NA",0,1115.11227503277,451.271732276467,2001,NA,NA,"w"
"16","AZ3410611003320011022","AZ3410611003320011022","NA",0,2094.28051684364,847.528646100783,2001,NA,NA,"w"
"17","AZ3418811026020011011","AZ3418811026020011011","200101815",1,3742.63244626444,1514.59567356142,2001,21.4369,52.9717335,"w"
"18","AZ3420411061920011012","AZ3420411061920011012","NA",0,1124.49915472803,455.070482909562,2001,NA,NA,"w"
"19","AZ3420811203820010628","AZ3420811203820010628","200101812",1,6702.95958026206,2712.60235304567,2001,1779.2627,4396.6538805,"w"
"20","AZ3420911211020010626","AZ3420911211020010626","200101812",1,1450.81164908968,587.124992478752,2001,214.369,529.717335,"w"
"21","AZ3431311178520010702","AZ3431311178520010702","200101786",1,7670.792647035,3104.27206593108,2001,2486.6804,6144.721086,"w"
"22","AZ3435911188420010617","AZ3435911188420010617","200101785",1,1939.36074368462,784.834587428266,2001,150.0583,370.8021345,"w"
"23","AZ3443411070120011024","AZ3443411070120011024","NA",0,1539.48276100583,623.009061888808,2001,NA,NA,"w"
"24","AZ3453011200320010625","AZ3453011200320010625","200101764",1,2968.27969842281,1201.22498099931,2001,21.4369,52.9717335,"w"
"25","AZ3459411115720011024","AZ3459411115720011024","NA",0,2329.97250809161,942.910192475593,2001,NA,NA,"w"
"26","AZ3462411119620011024","AZ3462411119620011024","NA",0,1622.86545305485,656.752975147885,2001,NA,NA,"w"
"27","AZ3621211197620010715","AZ3621211197620010715","200101503 200101506",2,4103.0927821383,1660.46937958082,2001,664.5439,1642.1237385,"w"
"28","AZ3624811222920010829","AZ3624811222920010829","200101499 200101502",2,4836.23613949125,1957.16315677911,2001,450.1749,1112.4064035,"w"
"29","AZ3633811232120010817","AZ3633811232120010817","200101486",1,4384.57167284659,1774.38030088734,2001,385.8642,953.491203,"w"
"30","CA3260811660120011208","CA3260811660120011208","200102163",1,3701.97724050649,1498.14302969836,2001,643.107,1589.152005,"w"
"31","CA3279711673520010103","CA3279711673520010103","200102107",1,10948.0649440302,4430.54241531204,2001,3601.3992,8899.251228,"w"
"32","CA3396111727920010623","CA3396111727920010623","NA",0,1506.00669788428,609.461725595507,2001,NA,NA,"w"
"33","CA3401911723520010722","CA3401911723520010722","200101852",1,1859.80355860347,752.638808105904,2001,214.369,529.717335,"w"
"34","CA3417011706520010614","CA3417011706520010614","NA",0,16.0164618648192,6.48165808278322,2001,NA,NA,"w"
